#ENV_ID	MT_ID	ID_DISP	CAT_ID	CAT_DISP	SUBCAT(s)	SUBCAT(s)_COL_DISP
NiFe_hydrog_1	hydrogenase_NiFeGroup1a;hydrogenase_NiFeGroup1b;hydrogenase_NiFeGroup1c;hydrogenase_NiFeGroup1d;hydrogenase_NiFeGroup1e;hydrogenase_NiFeGroup1f;hydrogenase_NiFeGroup1g;hydrogenase_NiFeGroup1h;hydrogenase_NiFeGroup1i;hydrogenase_NiFeGroup1j;hydrogenase_NiFeGroup1k	hydrog_1	H	Hydrogen	Ni-Fe hydrogenase	NiFe-H
NiFe_hydrog_2a	hydrogenase_NiFeGroup2a	hydrog_2a	H	Hydrogen	Ni-Fe hydrogenase	NiFe-H
NiFe_hydrog_2b	hydrogenase_NiFeGroup2b	hydrog_2b	H	Hydrogen	Ni-Fe hydrogenase	NiFe-H
NiFe_hydrog_3a	hydrogenase_NiFeGroup3a	hydrog_3a	H	Hydrogen	Ni-Fe hydrogenase	NiFe-H
NiFe_hydrog_3b	hydrogenase_NiFeGroup3b	hydrog_3b	H	Hydrogen	Ni-Fe hydrogenase	NiFe-H
NiFe_hydrog_3c	hydrogenase_NiFeGroup3c	hydrog_3c	H	Hydrogen	Ni-Fe hydrogenase	NiFe-H
NiFe_hydrog_3d	hydrogenase_NiFeGroup3d	hydrog_3d	H	Hydrogen	Ni-Fe hydrogenase	NiFe-H
NiFe_hydrog_4	hydrogenase_NiFeGroup4a;hydrogenase_NiFeGroup4b;hydrogenase_NiFeGroup4c;hydrogenase_NiFeGroup4d;hydrogenase_NiFeGroup4e;hydrogenase_NiFeGroup4f;hydrogenase_NiFeGroup4g;hydrogenase_NiFeGroup4h;hydrogenase_NiFeGroup4i	hydrog_4	H	Hydrogen	Ni-Fe hydrogenase	NiFe-H
Chlorite_dismutase	cld	CLD	Halo	Halogenated Compounds	Chlorite reduction	ClO2-R
HAD_type_II	E3.8.1.2	dehII	Halo	Halogenated Compounds	Compound degradation	Halo
RDH	pceA	RDH	Halo	Halogenated Compounds	Compound degradation	Halo
pcrA	-	pcrA	Halo	Halogenated Compounds	Perchlorate reduction	KClO4-R
pcrB	-	pcrB	Halo	Halogenated Compounds	Perchlorate reduction	KClO4-R
arsC	arcC	arsC	As	Arsenic	Arsenate reduction	AsO4-R
ars_reduc_gluta	arsC2	ars_reduc_gluta	As	Arsenic	Arsenate reduction	AsO4-R
arsC_pI258_fam	arsC2	arsC_pI258	As	Arsenic	Arsenate reduction	AsO4-R
arsenite_ox_L	aoxB	aioA	As	Arsenic	Arsenite oxidation	AsO3-R
arsenite_ox_S	aoxA	aoxA	As	Arsenic	Arsenite oxidation	AsO3-R
ygfN	xdhD	ygfN	Se	Selenium	Selenate reduction	SeO4-R
ygfK	ygfK	ygfK	Se	Selenium	Selenate reduction	SeO4-R
ygfM	ygfM	ygfM	Se	Selenium	Selenate reduction	SeO4-R
ureA	ureA	ureA	CH4N2O	Urea	Urea hydrolysis	CH4N2O-H
ureB	ureB	ureB	CH4N2O	Urea	Urea hydrolysis	CH4N2O-H
ureC	ureC	ureC	CH4N2O	Urea	Urea hydrolysis	CH4N2O-H
mtrA	mtrA	mtrA	Metal	Metals	Metal (Fe/Mn) oxidation	Fe/Mn-Ox
mtrC	mtrC	mtrC	Metal	Metals	Metal (Fe/Mn) oxidation	Fe/Mn-Ox
nthA	nthA	nthA	CN	Nitriles	Nitrile hydratase	RCN-H
nthB	nthB	nthB	CN	Nitriles	Nitrile hydratase	RCN-H
