#ID	ID_DISP	CAT_ID	CAT_DISP	SUBCAT(s)	SUBCATS(s)_COL_DISP
rplX_A_E	rplX_A_E	A_ribo_pol	Archaea Ribosomal + Polymerases
uL30_arch	uL30_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
Ribosomal_L31e	Ribosomal_L31e	A_ribo_pol	Archaea Ribosomal + Polymerases
Ribosomal_L32e	Ribosomal_L32e	A_ribo_pol	Archaea Ribosomal + Polymerases
RNA_pol_rpoA1	RNA_pol_rpoA1	A_ribo_pol	Archaea Ribosomal + Polymerases
RNA_pol_rpoA2	RNA_pol_rpoA2	A_ribo_pol	Archaea Ribosomal + Polymerases
rpoB_arch	rpoB_arch	A_ribo_pol	Archaea Ribosomal + Polymerases
rpoE	rpoE	A_ribo_pol	Archaea Ribosomal + Polymerases
RNA_pol_A_bac	RNA_pol_A_bac	A_ribo_pol	Archaea Ribosomal + Polymerases
RNA_pol_N	RNA_pol_N	A_ribo_pol	Archaea Ribosomal + Polymerases
RNA_pol_L_2	RNA_pol_L_2	A_ribo_pol	Archaea Ribosomal + Polymerases
RNA_pol_Rpb4	RNA_pol_Rpb4	A_ribo_pol	Archaea Ribosomal + Polymerases
RNA_pol_Rpb5_C	RNA_pol_Rpb5_C	A_ribo_pol	Archaea Ribosomal + Polymerases
A-tRNA_syn_arch	A-tRNA_syn_arch	A_other	Archaea Other
glyS_dimeric	glyS_dimeric	A_other	Archaea Other
proS_fam_I	proS_fam_I	A_other	Archaea Other
valS	valS	A_other	Archaea Other
aspS_nondisc	aspS_nondisc	A_other	Archaea Other
gltX_arch	gltX_arch	A_other	Archaea Other
pheT_arch	pheT_arch	A_other	Archaea Other
gatE_arch	gatE_arch	A_other	Archaea Other
arch_pth2	arch_pth2	A_other	Archaea Other
TRM1	TRM1	A_other	Archaea Other
endA	endA	A_other	Archaea Other
arcsn_tRNA_tgt	arcsn_tRNA_tgt	A_other	Archaea Other
pseudo_Pus10arc	pseudo_Pus10arc	A_other	Archaea Other
gatD_arch	gatD_arch	A_other	Archaea Other
HMG-CoA_red	HMG-CoA_red	A_other	Archaea Other
Fibrillarin	Fibrillarin	A_other	Archaea Other
V_ATPase_I	V_ATPase_I	A_other	Archaea Other
Nop	Nop	A_other	Archaea Other
CarS-like	CarS-like	A_other	Archaea Other
Diphthamide_syn	Diphthamide_syn	A_other	Archaea Other
UPF0086	UPF0086	A_other	Archaea Other
dsDNA_bind	dsDNA_bind	A_other	Archaea Other
ATP-synt_F	ATP-synt_F	A_other	Archaea Other
PPS_PS	PPS_PS	A_other	Archaea Other
SRP_SPB	SRP_SPB	A_other	Archaea Other
DUF359	DUF359	A_other	Archaea Other
primase_sml	primase_sml	A_other	Archaea Other
DNA_primase_lrg	DNA_primase_lrg	A_other	Archaea Other
DUF655	DUF655	A_other	Archaea Other
Fe-ADH_2	Fe-ADH_2	A_other	Archaea Other
rpiA	rpiA	A_other	Archaea Other
rdgB	rdgB	A_other	Archaea Other
pelota	pelota	A_other	Archaea Other
ATCase_reg	ATCase_reg	A_other	Archaea Other
alpha-NAC_hom	alpha-NAC_hom	A_other	Archaea Other
MBF1	MBF1	A_other	Archaea Other
RNA_SBDS	RNA_SBDS	A_other	Archaea Other
pyrE	pyrE	A_other	Archaea Other
CBF5	CBF5	A_other	Archaea Other
TFE_alpha	TFE_alpha	A_other	Archaea Other
KOW_elon_Spt5	KOW_elon_Spt5	A_other	Archaea Other
aIF-2	aIF-2	A_other	Archaea Other
EIF_2_alpha	EIF_2_alpha	A_other	Archaea Other
eif2g_arch	eif2g_arch	A_other	Archaea Other
eIF-6	eIF-6	A_other	Archaea Other
aEF-2	aEF-2	A_other	Archaea Other
eIF_5A	eIF_5A	A_other	Archaea Other
met_pdase_II	met_pdase_II	A_other	Archaea Other
coaBC_dfp	coaBC_dfp	A_other	Archaea Other
dph5	dph5	A_other	Archaea Other
mevalon_kin	mevalon_kin	A_other	Archaea Other
orni_carb_tr	orni_carb_tr	A_other	Archaea Other
asp_carb_tr	asp_carb_tr	A_other	Archaea Other
RNase_HII	RNase_HII	A_other	Archaea Other
ahcY	ahcY	A_other	Archaea Other
top6b	top6b	A_other	Archaea Other
eno	eno	A_other	Archaea Other
nusA_arch	nusA_arch	A_other	Archaea Other
pyrH_arch	pyrH_arch	A_other	Archaea Other
recomb_radA	recomb_radA	A_other	Archaea Other
2_5_ligase	2_5_ligase	A_other	Archaea Other
prefoldin_alpha	prefoldin_alpha	A_other	Archaea Other
gimC_beta	gimC_beta	A_other	Archaea Other
RNase_Z	RNase_Z	A_other	Archaea Other
cca_archaeal	cca_archaeal	A_other	Archaea Other
fen_arch	fen_arch	A_other	Archaea Other
arCOG00985	arCOG00985	A_other	Archaea Other
arCOG04150	arCOG04150	A_other	Archaea Other
arch_KAE1	arch_KAE1	A_other	Archaea Other
